,f,Yre,Yim,Zre,Zim
0,6250.0,0.002471636550824082,-2.5048903847008243e-05,404.5486790029535,4.09991548247679
1,3125.0,0.0025157014328813193,2.8367092350763475e-05,397.4529149343833,-4.481685861310903
2,1562.5,0.002482298256712916,0.00010823347932661382,402.08804863623624,-17.531893430557123
3,781.25,0.002425799546331709,0.0001634770379837542,410.3714950739096,-27.65534216918103
4,390.625,0.002331335153463389,0.000219352274551525,425.17481834314657,-40.0041424104341
5,195.3125,0.0022242894754421227,0.0002981699982316767,441.6454527681117,-59.203365984870636
6,97.65625,0.00208361974926114,0.0003742005193173548,464.938304160551,-83.49899492414703
7,48.828125,0.00190896784948856,0.00045190664135467674,496.0448057611567,-117.42782477610328
8,24.4140625,0.0016380697354656778,0.0005093358002858432,556.656229769954,-173.0847839596878
9,12.20703125,0.0013789153447807806,0.0005710102810958483,619.0527228944901,-256.3503776001057
10,6.103515625,0.001090270303585704,0.0005374843982390577,737.8762430962516,-363.76022275498923
11,3.0517578125,0.0008485635906028695,0.00048613952501312804,887.2551877780957,-508.3058244879857
12,1.52587890625,0.0006195168537676094,0.0004242205050984648,1098.8936292521582,-752.4786575470707
